sequential: 9486246us [53925us] (100.00%; 100.00%)
	DynamicToStatic: 9432321us [228197us] (99.43%; 99.43%)
		FoldConstant: 8962566us [8912654us] (94.48%; 95.02%)
			InferType: 49912us [49912us] (0.53%; 0.56%)
		InferType: 49137us [49137us] (0.52%; 0.52%)
		FoldConstant: 98444us [55281us] (1.04%; 1.04%)
			InferType: 43164us [43164us] (0.46%; 43.85%)
		InferType: 51042us [51042us] (0.54%; 0.54%)
		InferType: 42934us [42934us] (0.45%; 0.46%)
