sequential: 49786us [3266us] (100.00%; 100.00%)
	DynamicToStatic: 46520us [14035us] (93.44%; 93.44%)
		FoldConstant: 8981us [4030us] (18.04%; 19.30%)
			InferType: 4951us [4951us] (9.94%; 55.13%)
		InferType: 5074us [5074us] (10.19%; 10.91%)
		FoldConstant: 8490us [3847us] (17.05%; 18.25%)
			InferType: 4643us [4643us] (9.33%; 54.69%)
		InferType: 5106us [5106us] (10.25%; 10.97%)
		InferType: 4835us [4835us] (9.71%; 10.39%)
