sequential: 9007069us [52794us] (100.00%; 100.00%)
	DynamicToStatic: 8954275us [201956us] (99.41%; 99.41%)
		FoldConstant: 8507760us [8461423us] (94.46%; 95.01%)
			InferType: 46337us [46337us] (0.51%; 0.54%)
		InferType: 51519us [51519us] (0.57%; 0.58%)
		FoldConstant: 104815us [60069us] (1.16%; 1.17%)
			InferType: 44746us [44746us] (0.50%; 42.69%)
		InferType: 46617us [46617us] (0.52%; 0.52%)
		InferType: 41608us [41608us] (0.46%; 0.46%)
