sequential: 8161988us [49109us] (100.00%; 100.00%)
	DynamicToStatic: 8112879us [186959us] (99.40%; 99.40%)
		FoldConstant: 7715803us [7669231us] (94.53%; 95.11%)
			InferType: 46572us [46572us] (0.57%; 0.60%)
		InferType: 41006us [41006us] (0.50%; 0.51%)
		FoldConstant: 85649us [47682us] (1.05%; 1.06%)
			InferType: 37968us [37968us] (0.47%; 44.33%)
		InferType: 40256us [40256us] (0.49%; 0.50%)
		InferType: 43205us [43205us] (0.53%; 0.53%)
