sequential: 222560us [14292us] (100.00%; 100.00%)
	DynamicToStatic: 208267us [61866us] (93.58%; 93.58%)
		FoldConstant: 38566us [17190us] (17.33%; 18.52%)
			InferType: 21376us [21376us] (9.60%; 55.43%)
		InferType: 22527us [22527us] (10.12%; 10.82%)
		FoldConstant: 39571us [17455us] (17.78%; 19.00%)
			InferType: 22116us [22116us] (9.94%; 55.89%)
		InferType: 22347us [22347us] (10.04%; 10.73%)
		InferType: 23390us [23390us] (10.51%; 11.23%)
